Item Name,Specs,Sales Quantity,Aft. Sale Inventory Quantity,Unit
"Linked Loop - Mask to Glasses Chain - Gold Hoop Circle Glasses Chain for Women, Lightweight Sunglasses Chain & Glasses Holder",,,2,N/A
"Lyric - Raindrop Pearl Earrings,  Gold Dainty Long Pearl Drop Earrings, Minimal Real Pearl Earrings, Gift for Her, Long Drop Earrings",,,5,N/A
"Midnight Wander - Sparkle Transparent Beaded Necklace, Seed Bead Necklace for Women",,,4,N/A
"Millefleurs - Beaded Daisy Necklace Choker with Freshwater Pearls, Pearl Beaded Necklace with Charm",,,8,N/A
"Narrow Identity - One Size Open Ring, Hammered Stackable Ring, Dainty Sterling Silver Ring, Adjustable Ring for Women.",,,9,N/A
"Ocean Pearl - Pink Seashell Pearl Earring Studs, Beach Earrings made with Real Pearls, Gold Dangle Earrings Women, Gift ideas for Her",,,10,N/A
"One Size Open Ring, Sterling Silver Zircon Ring, Adjustable Gemstone Ring.Chunky Silver Ring, Christmas Jewelry Gift for Her",,,1,N/A
"Oversized Sunshine - Oversized Sunglasses for Women, Trendy Rimless Square Round Sunglasses",,,99,N/A
"Pearl Lasso - Gold Coin and Pearl Mask to Glasses Chain, Gold Curb Sunglasses Chain & Mask Lanyard, Pearl Eyeglasses Chain for Women Gold",,1,4,N/A
"Pearled Daisy - Colorful Beaded Freshwater Pearl Choker Necklace, Beaded Daisy Pearl Necklace, Gift for Her",,,5,N/A
"Pivot - One Size Antique Silver Double Layered Twisted Ring, Adjustable Sterling Silver Ring, Stackable Minimalist Ring",,,4,N/A
"Quinton - Vintage Style Coin Freshwater Baroque Pearl Earrings, Real Pearl Dropping Earrings Studs Gold, Large Dangle Pearl Earrings",,1,3,N/A
"Secret Garden - Elegant Mask to Glasses Chain, Vintage Vibe Polyester Scarf Face Mask & Sunglasses Chain, Spectacles Chain for Women",,,21,N/A
"Set of 2 , High Luster Real Natural Baroque Pearl Hair Clip, Pearl Bobby Pin, Pearl Wedding Hair Clip Set",,,0,N/A
"Shade of Sea - Beaded Shell and Turquoise Necklace, Summer Beach Choker Necklace for Women",,,5,N/A
"She is Bold - Irregular Freshwater Baroque Pearl Necklace Choker, Sterling Silver Genuine Pearl Beaded Necklace Women, Real Pearl Jewelry",,,0,N/A
"Shell and Starfish Earring Charms, 14K Gold Filled Beach Charms - Earring Builder",,,9,N/A
"Silver Cheese - Lovely Dainty Cheese Earrings, Silver Earrings Dangle, Gift for Her",,,2,N/A
"Silver Grande - One Size Chunky Silver Curb Chain Ring, 925 Silver Cuban Link Ring, Adjustable Sterling Silver Ring, Open Ring",,1,3,N/A
"Silver Rain - Sparkle Silver Mask to Glasses Chain, Sunglasses Chain Silver, Spectacles Chain for Women",,,2,N/A
"Sky Holiday - Sparkle Gold Blue CZ Star Huggie Hoops Earrings, Gold Pave Zircon Hoops, Celestial Dangle Earrings",,,3,N/A
"Small Pearl Charm",,,0,N/A
"Sparkle Dream - Turquoise Beaded Mask to Glasses Chain, Crystal Beads Sunglasses Chain & Mask Lanyard with Heart Pearls and Flowers Beads",,,0,N/A
"Sparkle Night - Black Bow Mask to Glasses Chain for Women, Beaded Ribbon Mask Lanyard & Face Mask Holder",,,6,N/A
"Sparkle Pearl - Gold Pearl Hoops, Pearl Drop Dangle Earrings Women, CZ Stone Paved Huggies",,,5,N/A
"Spring Visitors - Set of 2 - Monstera Leaf Glasses Cleaning Cloth - Microfiber Teal Blue Cloth, Single-sided | Lens, Phone, Screen Cleaning",,,21,N/A
"Star Light - Mask to Glasses Chain - Summer Vibe Pink and Blue Gemstone Spectacles & Sunglasses Chain, Mask Lanyard,  with purple beads",,,6,N/A
"Star and Moon Charms, 14K Gold Filled Mismatched Celestial Earring Charms - Earring Builder",,,9,N/A
"Stratus - Dainty Pearl & Stardust Round Beads Mask to Glasses Chain, Glasses Lanyard and Pearl Face Mask Holder, made with Acrylic Pearls",,,10,N/A
"Streaming Pearl - Pearl Mask to Glasses Chain Gold, White Pearl Beaded Mask Lanyard & Sunglasses Chain Women, Bold Spectacle Chain",,,9,N/A
"Subtle Grace - Dainty Real Natural Baroque Pearl Pin Brooch, Pearl Pin for Hat & Clothes, Button Size",,,8,N/A
"Suburbs - Small Twisted Gold Hoops, C Shape Twisted Hoops Earrings for Everyday Wear, Minimalist Earrings Studs, Gift for Her",,,5,N/A
"Summer Pearls - Colorful Double Layer Freshwater Pearl Beaded Choker Necklace",,,6,N/A
"Sunny Days - Set of 2 - Floral Glasses Cleaning Cloth - Microfiber Red to Orange Gradient Cloth, Single-sided | Lens, Phone, Screen Cleaning",,,8,N/A
"Sweet Talker - Heart Baroque Pearl Earring Studs, Pearl Studs Sterling Silver, Minimal Pearl Earrings, Real Pearl Jewelry",,,5,N/A
"The Avocado - Large Clasp Coin Purse, Avocado Gift, Kisslock Coin Purse",,,2,N/A
"The Coin - Mask to Glasses Chain - Gold Coin Pendant Sunglasses & Mask Chain, 14k Gold Plated Spectacles Chain for Women",,,7,N/A
"The Dandelion - Large Green Dandelion Clasp Coin Purse & Crossbody Purse | Cottagecore Kisslock Coin Purse | Japanese Coin Purse",,,1,N/A
"The Perfect Twist - Chunky Gold Hoop Earrings, Thick Twisted Hoops, Gold Plated Statement Huggie Earrings",,,15,N/A
"The Rhinestone - Mask to Glasses Chain - Sparkly Dainty Rhinestone Sunglasses & Face Mask Chain, 14k Gold Plated Spectacles Chain for Women",,,7,N/A
"The Strawberry - Beaded Mask to Glasses Chain, Fruit Beaded Mask Lanyard, Strawberry Face Mask Holder, Mask Necklace",,,3,N/A
"Tort Grande - Chunky Tortoise Shell Hoop Earrings, Large Acetate Hoops, Tortoise Shell Gifts ideas",,,2,N/A
"Trace - Large Baroque Pearl Hoop Earring Studs",,,3,N/A
"Tulle - White & Champagne Satin Scrunchie - Handmade Satin Hair Scrunchie, Scrunchie Hair Tie",,,8,N/A
"Une Fille - Elegant Baroque Pearl Stud Earrings Gold, Freshwater Pearl Drop Earrings, Real Pearl Jewelry, Gift Idea for Her",,,7,N/A
"Une Style - French Chic Thick Acetate Round Hair Barrette for Women in Tortoiseshell & Pearl, Circle Hair Clip, Pony Tail Clip",,,5,N/A
"Water Drops - Cluster Pearl Dropping Earrings, Pearl Dangle Earrings Gold, Gold Tone Jewelry, Real Pearl Jewelry",,,0,N/A
"White Beaded Rainbow - Mask to Glasses Chain - Boho Beaded Mask & Sunglasses Chain | Mask Lanyard, Spectacles Chain",,,22,N/A
"Wire Trio - C Shaped Multi Layered Gold Hoop Earring Studs, Minimalist Everyday Earrings for Women, Lightweight and Stylish",,,3,N/A
