Item Name,Variations,Quantity
"Rose Gold Filled Ball Post Earrings","Quantity Discount:1 pair (2pcs)",5
"Rose Gold Filled Ball Post Earrings","Quantity Discount:5 pairs (10pcs)",1
"Rose Gold Filled Beads","Bead Size:2mm - 100 beads",3
"Rose Gold Filled Beads","Bead Size:2mm - 400 beads",2
"Rose Gold Filled Beads","Bead Size:3mm - 50 beads",8
"Rose Gold Filled Beads","Bead Size:3mm - 200 beads",3
"Rose Gold Filled Beads","Bead Size:4mm - 25 beads",4
"Rose Gold Filled Butterfly Backing","Quantity Discount:5 pairs (10pcs)",1
"Rose Gold Filled Butterfly Backing","Quantity Discount:10 pairs (20pcs)",2
"Rose Gold Filled Leverback Earrings","Quantity Discount:1 pair",5
"Rose Gold Filled Leverback Earrings","Quantity Discount:4 pairs",1
"Round Circle Earrings","",3
"Round Earrings with Rhinestones","",2
"Round Tag Disc","Quantity Discount:2pcs",2
"Round Tag Disc","Quantity Discount:10pcs",1
"Round Zircon Earrings","",6
"Shell Charm","Quantity Discount:2pcs",2
"Shell Charm","Quantity Discount:10pcs",0
"Shell Shaped Earrings","Quantity Discount:2 pairs (4pcs)",7
"Shell Shaped Earrings","Quantity Discount:10 pairs (20pcs)",1
"Spring Ring Clasp","Size:5mm open ring, Quantity Discount:5pcs",4
"Spring Ring Clasp","Size:5mm open ring, Quantity Discount:20pcs",5
"Spring Ring Clasp","Size:5mm closed ring, Quantity Discount:5pcs",4
"Spring Ring Clasp","Size:5mm closed ring, Quantity Discount:20pcs",3
"Spring Ring Clasp","Size:5.5mm open ring, Quantity Discount:5pcs",5
"Spring Ring Clasp","Size:5.5mm open ring, Quantity Discount:20pcs",3
"Spring Ring Clasp","Size:5.5mm closed ring, Quantity Discount:5pcs",3
"Spring Ring Clasp","Size:5.5mm closed ring, Quantity Discount:20pcs",2
"Spring Ring Clasp","Size:6mm open ring, Quantity Discount:5pcs",4
"Spring Ring Clasp","Size:6mm open ring, Quantity Discount:20pcs",4
"Spring Ring Clasp","Size:6mm closed ring, Quantity Discount:5pcs",3
"Spring Ring Clasp","Size:6mm closed ring, Quantity Discount:20pcs",3
"Star Earrings","",3
"Star Heart Moon Charm","Style:Star, Quantity Discount:2 pcs",5
"Star Heart Moon Charm","Style:Star, Quantity Discount:10 pcs",0
"Star Heart Moon Charm","Style:Moon, Quantity Discount:2 pcs",1
"Star Heart Moon Charm","Style:Moon, Quantity Discount:10 pcs",1
"Star Heart Moon Charm","Style:Heart, Quantity Discount:2 pcs",4
"Star Heart Moon Charm","Style:Heart, Quantity Discount:10 pcs",1
"Star Rhinestone Earrings","",5
"Starfish Zircon Earrings","",3
"Sterling Silver Butterfly Backing","",4
"Sterling Silver Ear Wire Beading Hoops","Size:20mm - 2 pairs",4
"Sterling Silver Ear Wire Beading Hoops","Size:30mm - 2 pairs",5
"Sterling Silver Leverback Earrings","",4
"Sun Charm","Quantity Discount:2pcs",5
"Sun Charm","Quantity Discount:10pcs",1
"Thin Hoop Earrings","Size:12mm, Quantity Discount:1 Pair (2pcs)",5
"Thin Hoop Earrings","Size:12mm, Quantity Discount:5 Pairs (10pcs)",0
"Thin Hoop Earrings","Size:14mm, Quantity Discount:1 Pair (2pcs)",2
"Thin Hoop Earrings","Size:14mm, Quantity Discount:5 Pairs (10pcs)",2
"Triangle Earrings","",4
"Twisted Hoop Earrings","",0
"Wheat Round Earrings","",7
"Zircon Earrings","",2
"Zircon Rhinestone Earrings","",0
